county,month,wind_speed
Floyd,10,7.6
Floyd,11,7.8
Floyd,12,11
Fountain,1,9.5
Fountain,2,9.6
Fountain,3,12.9
Fountain,4,13.3
Fountain,5,10
Fountain,6,10.1
Fountain,7,8
Fountain,8,8.4
Fountain,9,6.5
Fountain,10,6.7
Fountain,11,9.7
Fountain,12,9
Franklin,1,11.1
Franklin,2,12.1
Franklin,3,10.2
Franklin,4,8.4
Franklin,5,11.8
Franklin,6,7.7
Franklin,7,8.4
Franklin,8,4.2
Franklin,9,5.7
Franklin,10,8.2
Franklin,11,9
Franklin,12,10.8
Fulton,1,12.3
Fulton,2,11.3
Fulton,3,14.4
Fulton,4,12.3
Fulton,5,12.3
Fulton,6,6.2
Fulton,7,9.1
Fulton,8,6.5
Fulton,9,6.5
Fulton,10,7.7
Fulton,11,6.5
Fulton,12,10.8
Gibson,1,11.7
Gibson,2,10.6
Gibson,3,11.2
Gibson,4,10
Gibson,5,9.7
Gibson,6,8.1
Gibson,7,6.6
Gibson,8,6
Gibson,9,7.6
Gibson,10,8.9
Gibson,11,7.7
Gibson,12,8.7
Grant,1,11.5
Grant,2,7.7
Grant,3,8.4
Grant,4,9.8
Grant,5,10.5
Grant,6,9.3
Grant,7,5.4
Grant,8,6.5
Grant,9,6.8
Grant,10,7.6
Grant,11,8.8
Grant,12,10.1
Greene,1,11.8
Greene,2,10.3
Greene,3,11.1
Greene,4,10.7
Greene,5,10.8
Greene,6,10.3
Greene,7,8.1
Greene,8,5.6
Greene,9,5
Greene,10,5.7
Greene,11,8.3
Greene,12,10.5
Hamilton,1,12.4
Hamilton,2,8.5
Hamilton,3,10.9
Hamilton,4,8.4
Hamilton,5,10.5
Hamilton,6,10.3
Hamilton,7,6.7
Hamilton,8,6.2
Hamilton,9,5.7
Hamilton,10,6.8
Hamilton,11,8.8
Hamilton,12,12.5
Hancock,1,9.6
Hancock,2,10.6
Hancock,3,13.1
Hancock,4,9.2
Hancock,5,7.4
Hancock,6,8.4
Hancock,7,9.4
Hancock,8,7.3
Hancock,9,7.9
Hancock,10,6.7
Hancock,11,8.1
Hancock,12,11.7
Harrison,1,10.6
Harrison,2,10.3
Harrison,3,10
Harrison,4,9.5
Harrison,5,12.5
Harrison,6,10
Harrison,7,3.9
Harrison,8,10.5
Harrison,9,7.1
Harrison,10,5.7
Harrison,11,6.7
Harrison,12,11
Hendricks,1,10.7
Hendricks,2,13.2
Hendricks,3,10
Hendricks,4,12.1
Hendricks,5,7.4
Hendricks,6,5.6
Hendricks,7,6.8
Hendricks,8,6.8
Hendricks,9,6.1
Hendricks,10,10.2
Hendricks,11,9.2
Hendricks,12,11.2
Henry,1,13
Henry,2,14.7
Henry,3,12.3
Henry,4,10.1
Henry,5,9.4
Henry,6,6.3
Henry,7,7.3
Henry,8,6.2
Henry,9,5.6
Henry,10,4.9
Henry,11,6.7
Henry,12,9.8
Howard,1,13.6
Howard,2,9.2
Howard,3,9
Howard,4,9.7
Howard,5,11.5
Howard,6,7.9
Howard,7,10.3
Howard,8,5.8
Howard,9,6.4
Howard,10,6.9
Howard,11,7.6
Howard,12,8.4
Huntington,1,11.5
Huntington,2,9.3
Huntington,3,10.1
Huntington,4,11.4
Huntington,5,9.1
Huntington,6,10.2
Huntington,7,6.3
Huntington,8,6.5
Huntington,9,6.8
Huntington,10,9.7
Huntington,11,9.3
Huntington,12,10.5
Jackson,1,12.2
Jackson,2,11.4
Jackson,3,12.4
Jackson,4,9.4
Jackson,5,7.7
Jackson,6,7.5
Jackson,7,6.9
Jackson,8,5.5
Jackson,9,7
Jackson,10,8
Jackson,11,11.9
Jackson,12,12
Jasper,1,12.6
Jasper,2,11.5
Jasper,3,9.4
Jasper,4,7.9
Jasper,5,7
Jasper,6,10.6
Jasper,7,7.5
Jasper,8,4.7
Jasper,9,7.2
Jasper,10,5.7
Jasper,11,9.6
Jasper,12,12.4
Jay,1,11.6
Jay,2,10
Jay,3,8.2
Jay,4,11.8
Jay,5,10.6
Jay,6,9.5
Jay,7,6.7
Jay,8,3.6
Jay,9,6.4
Jay,10,8.8
Jay,11,9.9
Jay,12,10.3
Jefferson,1,12.3
Jefferson,2,12.3
Jefferson,3,11.2
Jefferson,4,11.1
Jefferson,5,10.2
Jefferson,6,7.6
Jefferson,7,9.7
Jefferson,8,4.9
Jefferson,9,8.5
Jefferson,10,9.1
Jefferson,11,8.4
Jefferson,12,10.5
Jennings,1,8.7
Jennings,2,11.9
Jennings,3,11.4
Jennings,4,10.3
Jennings,5,8.2
Jennings,6,8.2
Jennings,7,7.8
Jennings,8,6.8
Jennings,9,7.3
Jennings,10,9.1
Jennings,11,11.4
Jennings,12,10.8
Johnson,1,11.4
Johnson,2,10.1
Johnson,3,8.9
Johnson,4,9.6
Johnson,5,8.1
Johnson,6,5.6
Johnson,7,7.8
Johnson,8,5.3
Johnson,9,6.1
Johnson,10,6.6
Johnson,11,8.7
Johnson,12,9.4
Knox,1,11.4
