county,month,wind_speed,,,,,
Crawford,2018-07,4.3,,,,,
Crawford,2018-08,6.8,,,,,
Crawford,2018-09,7.1,,,,,
Crawford,2018-10,6.2,,,,,
Crawford,2018-11,7.5,,,,,
Crawford,2018-12,8.7,,,,,
Daviess,2018-01,12.8,,,,,
Daviess,2018-02,10.8,,,,,
Daviess,2018-03,12.0,,,,,
Daviess,2018-04,12.0,,,,,
Daviess,2018-05,10.6,,,,,
Daviess,2018-06,9.3,,,,,
Daviess,2018-07,6.6,,,,,
Daviess,2018-08,6.8,,,,,
Daviess,2018-09,6.5,,,,,
Daviess,2018-10,8.9,,,,,
Daviess,2018-11,8.8,,,,,
Daviess,2018-12,12.8,,,,,
Dearborn,2018-01,10.5,,,,,
Dearborn,2018-02,14.4,,,,,
Dearborn,2018-03,13.2,,,,,
Dearborn,2018-04,11.2,,,,,
Dearborn,2018-05,9.9,,,,,
Dearborn,2018-06,7.6,,,,,
Dearborn,2018-07,10.2,,,,,
Dearborn,2018-08,4.0,,,,,
Dearborn,2018-09,5.2,,,,,
Dearborn,2018-10,9.0,,,,,
Dearborn,2018-11,10.4,,,,,
Dearborn,2018-12,6.7,,,,,
Decatur,2018-01,8.9,,,,,
Decatur,2018-02,11.2,,,,,
Decatur,2018-03,14.1,,,,,
Decatur,2018-04,9.9,,,,,
Decatur,2018-05,9.7,,,,,
Decatur,2018-06,9.6,,,,,
Decatur,2018-07,6.1,,,,,
Decatur,2018-08,6.2,,,,,
Decatur,2018-09,4.2,,,,,
Decatur,2018-10,11.1,,,,,
Decatur,2018-11,6.4,,,,,
Decatur,2018-12,8.4,,,,,
DeKalb,2018-01,10.9,,,,,
DeKalb,2018-02,13.5,,,,,
DeKalb,2018-03,12.6,,,,,
DeKalb,2018-04,10.7,,,,,
DeKalb,2018-05,9.9,,,,,
DeKalb,2018-06,8.9,,,,,
DeKalb,2018-07,5.7,,,,,
DeKalb,2018-08,5.2,,,,,
DeKalb,2018-09,4.8,,,,,
DeKalb,2018-10,9.8,,,,,
DeKalb,2018-11,10.2,,,,,
DeKalb,2018-12,10.1,,,,,
Delaware,2018-01,10.9,,,,,
Delaware,2018-02,9.8,,,,,
Delaware,2018-03,10.5,,,,,
Delaware,2018-04,10.4,,,,,
Delaware,2018-05,8.9,,,,,
Delaware,2018-06,8.6,,,,,
Delaware,2018-07,9.1,,,,,
Delaware,2018-08,6.0,,,,,
Delaware,2018-09,5.7,,,,,
Delaware,2018-10,8.5,,,,,
Delaware,2018-11,9.5,,,,,
Delaware,2018-12,7.9,,,,,
Dubois,2018-01,12.2,,,,,
Dubois,2018-02,9.7,,,,,
Dubois,2018-03,11.5,,,,,
Dubois,2018-04,9.7,,,,,
Dubois,2018-05,5.6,,,,,
Dubois,2018-06,7.7,,,,,
Dubois,2018-07,5.5,,,,,
Dubois,2018-08,5.5,,,,,
Dubois,2018-09,6.3,,,,,
Dubois,2018-10,10.5,,,,,
Dubois,2018-11,8.2,,,,,
Dubois,2018-12,10.4,,,,,
Elkhart,2018-01,10.1,,,,,
Elkhart,2018-02,12.6,,,,,
Elkhart,2018-03,12.0,,,,,
Elkhart,2018-04,8.7,,,,,
Elkhart,2018-05,11.2,,,,,
Elkhart,2018-06,11.3,,,,,
Elkhart,2018-07,5.5,,,,,
Elkhart,2018-08,5.2,,,,,
Elkhart,2018-09,6.7,,,,,
Elkhart,2018-10,8.9,,,,,
Elkhart,2018-11,7.4,,,,,
Elkhart,2018-12,9.8,,,,,
Fayette,2018-01,10.6,,,,,
Fayette,2018-02,13.2,,,,,
Fayette,2018-03,12.4,,,,,
Fayette,2018-04,8.8,,,,,
Fayette,2018-05,7.8,,,,,
Fayette,2018-06,8.8,,,,,
Fayette,2018-07,5.2,,,,,
Fayette,2018-08,5.8,,,,,
Fayette,2018-09,8.4,,,,,
Fayette,2018-10,8.8,,,,,
Fayette,2018-11,9.9,,,,,
Fayette,2018-12,10.3,,,,,
Floyd,2018-01,11.5,,,,,
Floyd,2018-02,9.3,,,,,
Floyd,2018-03,10.7,,,,,
Floyd,2018-04,10.6,,,,,
Floyd,2018-05,10.0,,,,,
Floyd,2018-06,10.2,,,,,
Floyd,2018-07,5.9,,,,,
Floyd,2018-08,6.3,,,,,
Floyd,2018-09,5.1,,,,,
Floyd,2018-10,7.6,,,,,
Floyd,2018-11,7.8,,,,,
Floyd,2018-12,11.0,,,,,
Fountain,2018-01,9.5,,,,,
Fountain,2018-02,9.6,,,,,
Fountain,2018-03,12.9,,,,,
Fountain,2018-04,13.3,,,,,
Fountain,2018-05,10.0,,,,,
Fountain,2018-06,10.1,,,,,
Fountain,2018-07,8.0,,,,,
Fountain,2018-08,8.4,,,,,
Fountain,2018-09,6.5,,,,,
Fountain,2018-10,6.7,,,,,
Fountain,2018-11,9.7,,,,,
Fountain,2018-12,9.0,,,,,
Franklin,2018-01,11.1,,,,,
Franklin,2018-02,12.1,,,,,
Franklin,2018-03,10.2,,,,,
Franklin,2018-04,8.4,,,,,
Franklin,2018-05,11.8,,,,,
Franklin,2018-06,7.7,,,,,
Franklin,2018-07,8.4,,,,,
Franklin,2018-08,4.2,,,,,
Franklin,2018-09,5.7,,,,,
Franklin,2018-10,8.2,,,,,
Franklin,2018-11,9.0,,,,,
Franklin,2018-12,10.8,,,,,
Fulton,2018-01,12.3,,,,,
Fulton,2018-02,11.3,,,,,
Fulton,2018-03,14.4,,,,,
Fulton,2018-04,12.3,,,,,
Fulton,2018-05,12.3,,,,,
Fulton,2018-06,6.2,,,,,
Fulton,2018-07,9.1,,,,,
Fulton,2018-08,6.5,,,,,
Fulton,2018-09,6.5,,,,,
Fulton,2018-10,7.7,,,,,
Fulton,2018-11,6.5,,,,,
Fulton,2018-12,10.8,,,,,
Gibson,2018-01,11.7,,,,,
Gibson,2018-02,10.6,,,,,
Gibson,2018-03,11.2,,,,,
Gibson,2018-04,10.0,,,,,
Gibson,2018-05,9.7,,,,,
Gibson,2018-06,8.1,,,,,
Gibson,2018-07,6.6,,,,,
Gibson,2018-08,6.0,,,,,
Gibson,2018-09,7.6,,,,,
Gibson,2018-10,8.9,,,,,
Gibson,2018-11,7.7,,,,,
Gibson,2018-12,8.7,,,,,
Grant,2018-01,11.5,,,,,
Grant,2018-02,7.7,,,,,
Grant,2018-03,8.4,,,,,
Grant,2018-04,9.8,,,,,
Grant,2018-05,10.5,,,,,
Grant,2018-06,9.3,,,,,
Grant,2018-07,5.4,,,,,
Grant,2018-08,6.5,,,,,
Grant,2018-09,6.8,,,,,
Grant,2018-10,7.6,,,,,
Grant,2018-11,8.8,,,,,
Grant,2018-12,10.1,,,,,
Greene,2018-01,11.8,,,,,
Greene,2018-02,10.3,,,,,
Greene,2018-03,11.1,,,,,
Greene,2018-04,10.7,,,,,
Greene,2018-05,10.8,,,,,
Greene,2018-06,10.3,,,,,
Greene,2018-07,8.1,,,,,
Greene,2018-08,5.6,,,,,
Greene,2018-09,5.0,,,,,
Greene,2018-10,5.7,,,,,
Greene,2018-11,8.3,,,,,
Greene,2018-12,10.5,,,,,
Hamilton,2018-01,12.4,,,,,
Hamilton,2018-02,8.5,,,,,
Hamilton,2018-03,10.9,,,,,
Hamilton,2018-04,8.4,,,,,
Hamilton,2018-05,10.5,,,,,
Hamilton,2018-06,10.3,,,,,
Hamilton,2018-07,6.7,,,,,
Hamilton,2018-08,6.2,,,,,
Hamilton,2018-09,5.7,,,,,
Hamilton,2018-10,6.8,,,,,
Hamilton,2018-11,8.8,,,,,
Hamilton,2018-12,12.5,,,,,
Hancock,2018-01,9.6,,,,,
Hancock,2018-02,10.6,,,,,
Hancock,2018-03,13.1,,,,,
Hancock,2018-04,9.2,,,,,
Hancock,2018-05,7.4,,,,,
Hancock,2018-06,8.4,,,,,
Hancock,2018-07,9.4,,,,,
Hancock,2018-08,7.3,,,,,
Hancock,2018-09,7.9,,,,,
Hancock,2018-10,6.7,,,,,
Hancock,2018-11,8.1,,,,,
Hancock,2018-12,11.7,,,,,
Harrison,2018-01,10.6,,,,,
Harrison,2018-02,10.3,,,,,
Harrison,2018-03,10.0,,,,,
Harrison,2018-04,9.5,,,,,
Harrison,2018-05,12.5,,,,,
Harrison,2018-06,10.0,,,,,
